
order_id,customer_id,order_date,category,sub_category,region,quantity,unit_price,status
1,C1,2023-12-15,Electronics,Mobile,North,2,500.0,
2,C2,2024-01-10,Books,Fiction,South,3,150.0,Returned
3,C3,2024-02-05,Clothing,Shirt,East,5,300.0,Delivered
4,C4,2024-03-01,Electronics,Laptop,West,1,1200.0,Delivered
5,C1,2024-03-12,Home,Kitchen,North,4,250.0,
6,C5,2024-04-10,Books,Comics,South,6,100.0,Delivered
7,C2,2024-05-05,Electronics,TV,East,2,800.0,Returned
8,C6,2024-06-14,Clothing,Trousers,West,3,400.0,Delivered
9,C7,2024-06-30,Toys,Puzzle,North,10,50.0,Delivered
10,C8,2024-07-01,Electronics,Mobile,South,1,700.0,Delivered
11,C9,2024-07-22,Home,Furniture,East,2,1500.0,Returned
12,C10,2024-08-03,Books,Non-Fiction,West,5,200.0,Delivered
13,C11,2024-08-20,Clothing,Shoes,North,3,600.0,Delivered
14,C12,2024-09-01,Electronics,Camera,South,1,900.0,Returned
15,C13,2024-09-11,Home,Decor,East,4,350.0,Delivered
16,C14,2024-09-21,Books,Fiction,West,8,120.0,Delivered
17,C15,2024-10-01,Toys,Board Game,North,7,80.0,Delivered
18,C16,2024-10-10,Electronics,Mobile,East,2,600.0,Delivered
19,C17,2024-11-01,Books,Comics,South,3,110.0,Returned
20,C18,2024-11-10,Home,Furniture,West,1,2000.0,Delivered
21,C19,2024-11-15,Clothing,Jacket,North,2,850.0,Delivered
22,C20,2024-11-20,Electronics,TV,South,1,1200.0,Cancelled
23,C21,2024-11-25,Books,Poetry,East,4,180.0,Delivered
24,C22,2024-12-01,Home,Kitchen,West,6,300.0,Delivered
25,C23,2024-12-05,Electronics,Laptop,North,2,1300.0,Delivered
26,C24,2024-12-10,Books,Non-Fiction,South,5,210.0,Delivered
27,C25,2024-12-15,Clothing,Shirt,East,7,350.0,Delivered
28,C26,2024-12-20,Toys,Puzzle,West,8,60.0,Returned
29,C27,2024-12-25,Home,Decor,North,3,400.0,Delivered
30,C28,2024-12-30,Electronics,Camera,South,1,950.0,Delivered
31,C29,2025-01-05,Clothing,Trousers,East,4,450.0,Delivered
32,C30,2025-01-10,Toys,Board Game,West,9,70.0,Delivered
33,C31,2025-01-15,Books,Fiction,North,2,130.0,Delivered
34,C32,2025-01-20,Electronics,Laptop,South,3,1100.0,Delivered
35,C33,2025-01-25,Home,Furniture,East,1,1800.0,Delivered
36,C34,2025-01-30,Books,Comics,West,6,90.0,Returned
37,C35,2025-02-05,Clothing,Jacket,North,5,750.0,Delivered
38,C36,2025-02-10,Electronics,TV,South,2,1000.0,Delivered
39,C37,2025-02-15,Home,Kitchen,East,3,320.0,Delivered
40,C38,2025-02-20,Toys,Puzzle,West,15,55.0,Delivered
41,C39,2025-02-25,Books,Non-Fiction,North,4,220.0,Delivered
42,C40,2025-03-01,Clothing,Shoes,South,3,580.0,Delivered
43,C41,2025-03-05,Electronics,Camera,East,2,880.0,Delivered
44,C42,2025-03-10,Home,Decor,West,4,370.0,Delivered
45,C43,2025-03-15,Books,Fiction,North,5,140.0,Delivered
46,C44,2025-03-20,Electronics,Mobile,South,1,720.0,Delivered
47,C45,2025-03-25,Clothing,Shirt,East,8,340.0,Delivered
48,C46,2025-03-30,Toys,Board Game,West,6,75.0,Delivered
49,C47,2025-04-01,Home,Furniture,North,1,1900.0,Delivered
50,C48,2025-04-05,Books,Poetry,South,2,200.0,Delivered
